timestamp,cash,market_value,total_value,return,return_pct
2025-01-02,100000.0,0.0,100000.0,0.0,0.0
2025-01-03,100000.0,0.0,100000.0,0.0,0.0
2025-01-06,100000.0,0.0,100000.0,0.0,0.0
2025-01-07,100000.0,0.0,100000.0,0.0,0.0
2025-01-08,100000.0,0.0,100000.0,0.0,0.0
2025-01-09,100000.0,0.0,100000.0,0.0,0.0
2025-01-10,100000.0,0.0,100000.0,0.0,0.0
2025-01-13,100000.0,0.0,100000.0,0.0,0.0
2025-01-14,100000.0,0.0,100000.0,0.0,0.0
2025-01-15,100000.0,0.0,100000.0,0.0,0.0
2025-01-16,100000.0,0.0,100000.0,0.0,0.0
2025-01-17,100000.0,0.0,100000.0,0.0,0.0
2025-01-20,100000.0,0.0,100000.0,0.0,0.0
2025-01-21,100000.0,0.0,100000.0,0.0,0.0
2025-01-22,100000.0,0.0,100000.0,0.0,0.0
2025-01-23,100000.0,0.0,100000.0,0.0,0.0
2025-01-24,100000.0,0.0,100000.0,0.0,0.0
2025-01-27,100000.0,0.0,100000.0,0.0,0.0
2025-02-05,100000.0,0.0,100000.0,0.0,0.0
2025-02-06,100000.0,0.0,100000.0,0.0,0.0
2025-02-07,6957.095499999996,93015.0,99972.0955,-27.90450000000419,-0.02790450000000419
2025-02-10,6957.095499999996,93615.0,100572.0955,572.0954999999958,0.5720954999999959
2025-02-11,6957.095499999996,94065.0,101022.0955,1022.0954999999958,1.0220954999999958
2025-02-12,6957.095499999996,94200.0,101157.0955,1157.0954999999958,1.1570954999999958
2025-02-13,6957.095499999996,92880.0,99837.0955,-162.9045000000042,-0.16290450000000417
2025-02-14,6957.095499999996,94395.0,101352.0955,1352.0954999999958,1.3520954999999957
2025-02-17,6957.095499999996,96180.0,103137.0955,3137.095499999996,3.1370954999999956
2025-02-18,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-19,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-20,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-21,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-24,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-25,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-26,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-27,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-02-28,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-03,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-04,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-05,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-06,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-07,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-10,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-11,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-12,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-13,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-14,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-17,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-18,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-19,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-20,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-21,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-24,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-25,100169.1235,0.0,100169.1235,169.1235000000015,0.1691235000000015
2025-03-26,6999.180900000007,93142.0,100141.1809,141.18090000000666,0.14118090000000666
2025-03-27,6999.180900000007,92036.0,99035.1809,-964.8190999999933,-0.9648190999999933
2025-03-28,6999.180900000007,92610.00000000001,99609.18090000002,-390.8190999999788,-0.39081909999997877
2025-03-31,97048.1581,0.0,97048.1581,-2951.8418999999994,-2.9518418999999994
2025-04-01,10975.343999999997,86047.0,97022.344,-2977.6560000000027,-2.9776560000000027
2025-04-02,10975.343999999997,86684.00000000001,97659.34400000001,-2340.655999999988,-2.340655999999988
2025-04-03,10975.343999999997,85683.0,96658.344,-3341.6560000000027,-3.3416560000000026
2025-04-07,87678.3262,0.0,87678.3262,-12321.673800000004,-12.321673800000005
2025-04-08,9446.863799999992,78208.0,87654.86379999999,-12345.136200000008,-12.345136200000008
2025-04-09,9446.863799999992,79859.0,89305.86379999999,-10694.136200000008,-10.694136200000008
2025-04-10,9446.863799999992,81198.0,90644.86379999999,-9355.136200000008,-9.355136200000008
2025-04-11,9446.863799999992,81926.0,91372.86379999999,-8627.136200000008,-8.62713620000001
2025-04-14,9446.863799999992,83590.0,93036.86379999999,-6963.136200000008,-6.963136200000008
2025-04-15,9446.863799999992,84162.0,93608.86379999999,-6391.136200000008,-6.391136200000008
2025-04-16,9446.863799999992,82524.0,91970.86379999999,-8029.136200000008,-8.029136200000007
2025-04-17,9446.863799999992,82810.0,92256.86379999999,-7743.136200000008,-7.743136200000008
2025-04-18,9446.863799999992,82758.0,92204.86379999999,-7795.136200000008,-7.795136200000008
2025-04-21,9446.863799999992,83304.0,92750.86379999999,-7249.136200000008,-7.249136200000009
2025-04-22,9446.863799999992,87047.99999999999,96494.86379999998,-3505.1362000000227,-3.5051362000000226
2025-04-23,9446.863799999992,87100.0,96546.86379999999,-3453.136200000008,-3.453136200000008
2025-04-24,9446.863799999992,86671.0,96117.86379999999,-3882.136200000008,-3.882136200000008
2025-04-25,9446.863799999992,87840.99999999999,97287.86379999998,-2712.1362000000227,-2.7121362000000224
2025-04-28,9446.863799999992,85852.00000000001,95298.8638,-4701.136199999994,-4.701136199999993
2025-04-29,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-04-30,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-06,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-07,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-08,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-09,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-12,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-13,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-14,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-15,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-16,88606.10889999999,0.0,88606.10889999999,-11393.891100000008,-11.393891100000006
2025-05-19,8163.9834999999875,80418.0,88581.98349999999,-11418.016500000012,-11.418016500000013
2025-05-20,8163.9834999999875,81978.0,90141.98349999999,-9858.016500000012,-9.858016500000012
2025-05-21,8163.9834999999875,81692.0,89855.98349999999,-10144.016500000012,-10.144016500000012
2025-05-22,8163.9834999999875,81627.0,89790.98349999999,-10209.016500000012,-10.209016500000011
2025-05-23,8163.9834999999875,80613.0,88776.98349999999,-11223.016500000012,-11.223016500000012
2025-05-26,8163.9834999999875,80548.0,88711.98349999999,-11288.016500000012,-11.288016500000014
2025-05-27,8163.9834999999875,81081.0,89244.98349999999,-10755.016500000012,-10.755016500000012
2025-05-28,8163.9834999999875,80678.0,88841.98349999999,-11158.016500000012,-11.158016500000013
2025-05-29,8163.9834999999875,81406.0,89569.98349999999,-10430.016500000012,-10.430016500000013
2025-05-30,8163.9834999999875,80665.0,88828.98349999999,-11171.016500000012,-11.171016500000013
2025-06-03,8163.9834999999875,80951.0,89114.98349999999,-10885.016500000012,-10.885016500000013
2025-06-04,89207.66309999999,0.0,89207.66309999999,-10792.33690000001,-10.79233690000001
2025-06-05,8063.327099999995,81120.0,89183.3271,-10816.672900000005,-10.816672900000004
2025-06-06,8063.327099999995,81315.0,89378.3271,-10621.672900000005,-10.621672900000005
2025-06-09,8063.327099999995,82628.0,90691.3271,-9308.672900000005,-9.308672900000005
2025-06-10,89951.75319999999,0.0,89951.75319999999,-10048.246800000008,-10.048246800000008
2025-06-11,89951.75319999999,0.0,89951.75319999999,-10048.246800000008,-10.048246800000008
